Day Without Rain
['05/25/2010', 'SMB-6-06', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['06/01/2010', 'SMB-6-06', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['06/15/2010', 'SMB-6-06', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['06/22/2010', 'SMB-6-06', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['06/29/2010', 'SMB-6-06', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['07/07/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['07/14/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['07/21/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['07/28/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['08/04/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['08/11/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['08/18/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['08/25/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '160', '160']
['09/08/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['09/15/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['09/22/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['09/29/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['10/06/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '53', '53']
['10/20/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '31', '31']
['10/27/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '20', '20']
['11/03/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'IA', 'IA']
['11/04/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '20', '20']
['11/10/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['11/17/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '31', '31']
['11/24/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['12/01/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '180', '180']
['12/29/2009', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['01/05/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['01/12/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['02/02/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['02/16/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['03/16/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['03/23/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['03/30/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '20', '20']
['05/04/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['05/11/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['05/25/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['06/01/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['06/15/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', '10', '10']
['06/22/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
['06/29/2010', 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 'ND', '5']
